,站点,编号,Lng,Lat,lambda,站点_,out_lambda
58,临江,59,118.659967765056,32.0594948320898,10.327777777777778,临江,10.08888888888889
59,浦口万汇城,60,118.651558471518,32.0641264143529,17.544444444444444,浦口万汇城,18.316666666666663
60,南京工业大学,61,118.643032159732,32.0690311032511,31.966666666666665,南京工业大学,31.899999999999995
61,龙华路,62,118.6302803961,32.0668489314463,47.67777777777778,龙华路,49.31111111111111
62,文德路,63,118.621772899268,32.0597288079018,34.8,文德路,38.01111111111111
63,雨山路,64,118.610247602951,32.0467798203773,24.85,雨山路,21.250000000000004
64,禄口机场,65,118.86820928581,31.7325489141334,13.783333333333331,禄口机场,12.07777777777778
65,翔宇路南,66,118.824039611789,31.7568826681139,16.872222222222224,翔宇路南,17.97222222222222
66,翔宇路北,67,118.816564795951,31.7937392255345,30.21111111111111,翔宇路北,30.12222222222222
67,正方中路,68,118.800682372114,31.8473840767858,13.705555555555554,正方中路,14.372222222222224
68,吉印大道,69,118.790360160226,31.888187952612,9.38888888888889,吉印大道,9.67222222222222
69,河海大学佛城西路,70,118.800833,31.92,19.5,河海大学佛城西路,20.116666666666667
70,翠屏山,71,118.779456532024,31.9445743268818,39.53333333333333,翠屏山,42.85555555555556
71,泰山新村,72,118.710829581757,32.1467628284208,37.63333333333333,泰山新村,38.89444444444445
72,泰冯路,73,118.712301561588,32.155913470539,70.32222222222222,泰冯路,69.12777777777777
73,高新开发区,74,118.714443957259,32.1799165838496,11.744444444444444,高新开发区,11.155555555555557
74,信息工程大学,75,118.721824645822,32.2048835950645,47.34444444444444,信息工程大学,46.66666666666666
75,卸甲甸,76,118.725479356345,32.2168128368737,39.43888888888888,卸甲甸,37.75555555555555
76,大厂,77,118.734818722278,32.2310447092317,31.594444444444445,大厂,29.938888888888886
77,葛塘,78,118.748451222039,32.2465866902141,36.08888888888888,葛塘,34.71111111111111
78,长芦,79,118.771487055945,32.275593329991,3.038888888888889,长芦,3.4444444444444446
79,化工园,80,118.780468668201,32.2876800818428,10.233333333333333,化工园,10.011111111111113
80,六合开发区,81,118.799885446889,32.3073128018756,2.638888888888889,六合开发区,2.8833333333333333
81,龙池,82,118.815231367837,32.3211935973343,28.58333333333333,龙池,30.038888888888888
82,雄州,83,118.831639789537,32.3368410939641,26.01666666666667,雄州,22.194444444444446
83,凤凰山公园,84,118.840074024607,32.3491794213165,21.916666666666668,凤凰山公园,22.32777777777778
84,方州广场,85,118.844823974281,32.3613610597718,16.17222222222222,方州广场,14.261111111111113
85,沈桥,86,118.886616955905,32.4021808328274,5.083333333333333,沈桥,5.155555555555556
86,八百桥,87,118.928112181349,32.4292480021992,11.027777777777777,八百桥,11.333333333333334
87,金牛湖,88,118.958928213401,32.467266815036,12.472222222222223,金牛湖,12.03888888888889
88,林场,89,118.666241042463,32.1657811584594,49.67777777777778,林场,46.48333333333333
89,星火路,90,118.691530544423,32.1596732863252,40.53888888888888,星火路,39.79444444444445
90,东大成贤学院,91,118.702630168064,32.1585173058472,70.36666666666666,东大成贤学院,68.0
91,天润城,92,118.72878833272,32.1529391913819,272.4555555555556,天润城,270.6222222222222
92,柳洲东路,93,118.741041905928,32.1421719153902,465.3555555555556,柳洲东路,459.4
93,上元门,94,118.764684165495,32.1176653156781,62.35555555555556,上元门,64.32777777777777
94,五塘广场,95,118.772437201101,32.1126081941817,130.15555555555554,五塘广场,124.4222222222222
95,小市,96,118.780422478887,32.0968660151188,137.00555555555553,小市,141.05000000000004
96,南京林业大学新庄,97,118.811944,32.080278,168.29444444444442,南京林业大学新庄,151.86666666666667
97,鸡鸣寺,98,118.792291254236,32.0595074261512,98.33333333333331,鸡鸣寺,104.11111111111111
98,浮桥,99,118.791162956233,32.0514419899147,171.63333333333333,浮桥,173.19444444444446
99,常府街,100,118.787190023426,32.0357578141015,154.70000000000002,常府街,166.15
100,夫子庙,101,118.785853437426,32.0261164954273,144.5111111111111,夫子庙,155.92777777777778
