,站点,编号,Lng,Lat,lambda,站点_,out_lambda
0,奥体中心,1,118.71293004756,32.0108384266933,0.7249999999999999,奥体中心,0.972222222222222
1,元通,2,118.716292040679,31.9978967922956,3.9666666666666655,元通,3.077777777777777
2,中胜,3,118.728283054112,31.9902280445245,0.711111111111111,中胜,3.311111111111111
3,小行,4,118.739156216275,31.9844281695514,1.6944444444444442,小行,2.466666666666667
4,安德门,5,118.766667,31.9875,1.7555555555555558,安德门,2.016666666666667
5,中华门,6,118.769493644779,32.008978495402,0.7388888888888888,中华门,2.7666666666666666
6,三山街,7,118.776501934076,32.0249112339093,0.7305555555555557,三山街,6.344444444444446
7,张府园,8,118.778798909611,32.0330366067603,2.375,张府园,17.338888888888892
8,新街口,9,118.778961057688,32.0430649020868,6.219444444444444,新街口,48.44444444444444
9,珠江路,10,118.779014347575,32.0531402061822,8.597222222222221,珠江路,12.56111111111111
10,鼓楼,11,118.77861514078,32.0609523319245,8.413888888888888,鼓楼,17.761111111111113
11,玄武门,12,118.778958873253,32.0721512297481,7.077777777777779,玄武门,2.855555555555555
12,新模范马路,13,118.778623777869,32.0819501388918,7.216666666666668,新模范马路,2.333333333333333
13,南京站,14,118.790792534641,32.0884793183805,8.080555555555556,南京站,1.3777777777777778
14,红山动物园,15,118.796871379299,32.0978369787115,15.055555555555554,红山动物园,3.783333333333334
15,迈皋桥,16,118.804476929329,32.1047800221339,17.38888888888889,迈皋桥,12.183333333333332
16,油坊桥,17,118.716136537886,31.9684528145053,9.46388888888889,油坊桥,14.055555555555555
17,雨润大街,18,118.71745212701,31.9856612187076,4.722222222222223,雨润大街,2.9111111111111114
18,奥体东,19,118.723984305265,32.0067790225695,5.880555555555556,奥体东,5.711111111111111
19,兴隆大街,20,118.730836029005,32.0175678478258,6.188888888888888,兴隆大街,2.327777777777777
20,集庆门大街,21,118.734329406442,32.0305577582865,6.663888888888889,集庆门大街,3.894444444444445
21,云锦路,22,118.742186285378,32.0370826652881,3.9388888888888887,云锦路,1.9166666666666663
22,莫愁湖,23,118.753545093292,32.0397459821284,3.5388888888888888,莫愁湖,1.361111111111111
23,汉中门,24,118.76181409538,32.0447635608273,4.691666666666666,汉中门,3.155555555555556
24,上海路,25,118.770837699287,32.0442502234741,4.880555555555556,上海路,6.477777777777779
25,大行宫,26,118.789688522587,32.0438580341887,5.080555555555557,大行宫,10.81111111111111
26,西安门,27,118.800554244319,32.0422818244261,3.7638888888888897,西安门,3.394444444444445
27,明故宫,28,118.814296121624,32.0412958318247,2.9416666666666678,明故宫,1.4555555555555555
28,苜蓿园,29,118.829995292996,32.0421848196004,2.569444444444444,苜蓿园,0.9333333333333332
29,下马坊,30,118.843394894264,32.0396656006026,2.452777777777778,下马坊,1.5111111111111108
30,孝陵卫,31,118.853279255399,32.0376586720313,2.0861111111111112,孝陵卫,1.5166666666666666
31,钟灵街,32,118.864354007062,32.0413809501,3.1666666666666665,钟灵街,1.9222222222222225
32,马群,33,118.88954428411,32.0518651111332,3.286111111111111,马群,5.738888888888889
33,金马路,34,118.900807625171,32.0737502913737,1.2638888888888888,金马路,0.6833333333333333
34,仙鹤门,35,118.899859380564,32.0871202930512,1.944444444444444,仙鹤门,0.8111111111111112
35,学则路,36,118.911831956503,32.0935803111634,1.258333333333333,学则路,0.7944444444444445
36,仙林中心,37,118.925384636277,32.1010114801202,0.7194444444444444,仙林中心,0.7888888888888889
37,羊山公园,38,118.935015065674,32.1060830720506,0.6472222222222223,羊山公园,1.8388888888888888
38,南大仙林校区,39,118.954200332898,32.1109541899856,1.075,南大仙林校区,2.3000000000000003
39,经天路,40,118.971499121183,32.1183235074634,2.95,经天路,5.077777777777778
40,天隆寺,41,118.757900697339,31.9813393344094,6.725,天隆寺,4.138888888888888
41,软件大道,42,118.76935172254,31.9792148859908,7.274999999999999,软件大道,5.366666666666666
42,花神庙,43,118.780396634885,31.9799253047933,2.0083333333333337,花神庙,2.5055555555555555
43,南京南站,44,118.792924749867,31.9706391413485,3.0499999999999994,南京南站,2.083333333333333
44,双龙大道,45,118.81202167082,31.9660655837794,4.958333333333333,双龙大道,1.7166666666666666
45,河定桥,46,118.815039509508,31.9541625494218,3.6333333333333337,河定桥,1.4944444444444445
46,胜太路,47,118.816460461615,31.9459042765622,2.275,胜太路,0.9444444444444444
47,百家湖,48,118.816127968241,31.9339928122324,1.8861111111111115,百家湖,1.3666666666666667
