,站点,编号,Lng,Lat,lambda,站点_,out_lambda
0,奥体中心,1,118.71293004756,32.0108384266933,2.269444444444445,奥体中心,0.3722222222222222
1,元通,2,118.716292040679,31.9978967922956,14.819444444444445,元通,20.477777777777774
2,中胜,3,118.728283054112,31.9902280445245,17.144444444444442,中胜,23.07222222222222
3,小行,4,118.739156216275,31.9844281695514,8.958333333333334,小行,13.611111111111112
4,安德门,5,118.766667,31.9875,25.350000000000005,安德门,11.15
5,中华门,6,118.769493644779,32.008978495402,27.969444444444445,中华门,6.966666666666668
6,三山街,7,118.776501934076,32.0249112339093,26.03888888888889,三山街,20.25555555555556
7,张府园,8,118.778798909611,32.0330366067603,20.45833333333333,张府园,24.33888888888889
8,新街口,9,118.778961057688,32.0430649020868,50.18888888888888,新街口,333.3611111111111
9,珠江路,10,118.779014347575,32.0531402061822,21.54444444444444,珠江路,59.31666666666667
10,鼓楼,11,118.77861514078,32.0609523319245,22.76111111111111,鼓楼,72.27777777777779
11,玄武门,12,118.778958873253,32.0721512297481,12.744444444444444,玄武门,14.988888888888887
12,新模范马路,13,118.778623777869,32.0819501388918,19.19722222222222,新模范马路,17.05
13,南京站,14,118.790792534641,32.0884793183805,12.711111111111112,南京站,6.966666666666668
14,红山动物园,15,118.796871379299,32.0978369787115,20.336111111111112,红山动物园,5.2
15,迈皋桥,16,118.804476929329,32.1047800221339,61.16944444444444,迈皋桥,54.92222222222222
16,油坊桥,17,118.716136537886,31.9684528145053,44.98611111111111,油坊桥,52.04444444444445
17,雨润大街,18,118.71745212701,31.9856612187076,11.544444444444444,雨润大街,5.427777777777778
18,奥体东,19,118.723984305265,32.0067790225695,19.05277777777778,奥体东,25.08333333333333
19,兴隆大街,20,118.730836029005,32.0175678478258,19.68611111111112,兴隆大街,5.411111111111111
20,集庆门大街,21,118.734329406442,32.0305577582865,29.175000000000004,集庆门大街,18.616666666666667
21,云锦路,22,118.742186285378,32.0370826652881,19.62222222222222,云锦路,5.544444444444445
22,莫愁湖,23,118.753545093292,32.0397459821284,14.838888888888889,莫愁湖,4.772222222222222
23,汉中门,24,118.76181409538,32.0447635608273,15.091666666666669,汉中门,13.527777777777777
24,上海路,25,118.770837699287,32.0442502234741,13.91111111111111,上海路,19.21111111111111
25,大行宫,26,118.789688522587,32.0438580341887,23.54166666666667,大行宫,57.74444444444444
26,西安门,27,118.800554244319,32.0422818244261,13.480555555555553,西安门,14.81111111111111
27,明故宫,28,118.814296121624,32.0412958318247,14.230555555555554,明故宫,7.322222222222222
28,苜蓿园,29,118.829995292996,32.0421848196004,11.402777777777777,苜蓿园,3.05
29,下马坊,30,118.843394894264,32.0396656006026,19.51388888888889,下马坊,4.511111111111112
30,孝陵卫,31,118.853279255399,32.0376586720313,12.008333333333333,孝陵卫,6.627777777777778
31,钟灵街,32,118.864354007062,32.0413809501,10.261111111111113,钟灵街,1.6388888888888888
32,马群,33,118.88954428411,32.0518651111332,44.68333333333333,马群,24.23333333333333
33,金马路,34,118.900807625171,32.0737502913737,3.502777777777778,金马路,0.711111111111111
34,仙鹤门,35,118.899859380564,32.0871202930512,13.002777777777776,仙鹤门,3.0388888888888888
35,学则路,36,118.911831956503,32.0935803111634,9.019444444444446,学则路,1.9944444444444445
36,仙林中心,37,118.925384636277,32.1010114801202,4.96111111111111,仙林中心,0.5833333333333333
37,羊山公园,38,118.935015065674,32.1060830720506,2.569444444444444,羊山公园,0.8166666666666667
38,南大仙林校区,39,118.954200332898,32.1109541899856,4.4638888888888895,南大仙林校区,2.1
39,经天路,40,118.971499121183,32.1183235074634,8.89722222222222,经天路,6.933333333333335
40,天隆寺,41,118.757900697339,31.9813393344094,24.288888888888888,天隆寺,17.188888888888886
41,软件大道,42,118.76935172254,31.9792148859908,71.04166666666666,软件大道,50.64444444444445
42,花神庙,43,118.780396634885,31.9799253047933,9.65,花神庙,11.788888888888888
43,南京南站,44,118.792924749867,31.9706391413485,8.197222222222221,南京南站,8.855555555555556
44,双龙大道,45,118.81202167082,31.9660655837794,26.9,双龙大道,14.516666666666667
45,河定桥,46,118.815039509508,31.9541625494218,16.408333333333335,河定桥,6.716666666666666
46,胜太路,47,118.816460461615,31.9459042765622,10.13888888888889,胜太路,3.1
47,百家湖,48,118.816127968241,31.9339928122324,6.455555555555555,百家湖,3.3666666666666663
48,小龙湾,49,118.827758023493,31.9318589285632,7.4416666666666655,小龙湾,0.9000000000000001
49,竹山路,50,118.839480399559,31.9341161979074,15.180555555555555,竹山路,5.877777777777778
50,天印大道,51,118.858410498018,31.9398911441827,7.580555555555557,天印大道,1.4111111111111112
51,龙眠大道,52,118.871974926143,31.9421327547777,13.236111111111107,龙眠大道,6.405555555555555
52,南医大江苏经贸学院,53,118.891667,31.935278,2.836111111111111,南医大江苏经贸学院,0.9666666666666666
53,南京交院,54,118.89963933694,31.9152006115524,8.194444444444446,南京交院,1.8722222222222225
54,中国药科大学,55,118.909086123543,31.899929770277,7.336111111111111,中国药科大学,2.2388888888888885
55,梦都大街,56,118.716754331786,32.0178785931923,3.2444444444444454,梦都大街,1.216666666666667
56,绿博园,57,118.712144329727,32.0262293517172,1.352777777777778,绿博园,0.3444444444444444
57,临江,59,118.659967765056,32.0594948320898,1.0611111111111111,临江,0.5111111111111112
58,浦口万汇城,60,118.651558471518,32.0641264143529,2.6694444444444443,浦口万汇城,0.4333333333333333
59,南京工业大学,61,118.643032159732,32.0690311032511,4.9944444444444445,南京工业大学,0.6777777777777777
